id,answer,time
1,เนื่องจากกองทุนมีผู้จัดการกองทุนที่เป็นผู้เชี่ยวชาญช่วยบริหาร มีระบบในการเข้าถึงข้อมูล และความสามารถในการกระจายความเสี่ยงที่ดีเนื่องจากเงินมีลงทุนก้อนใหญ่ที่ได้จากการระดมทุนจากผู้ลงทุนหลายๆ คน,3.6174838542938232
2,ส่งผลให้อัตราผลตอบแทนจากตราสารหนี้ลดลง,2.643127918243408
3,ไม่เป็นไรครับ ,66.12082886695862
4,ราคาของตราสารหนี้จะมีแนวโน้มเพิ่มขึ้นทุกวันจากผลของดอกเบี้ยค้างรับ ส่งผลต่อความยากในการวิเคราะห์ของผู้ลงทุนว่า ราคาของตราสารหนี้ที่เปลี่ยนแปลงนี้ มาจากผลของดอกเบี้ยค้างรับ ความมั่นคงของผู้ออกตราสาร หรือปัจจัยเศรษฐกิจอื่นๆ กันแน่,2.7041099071502686
5,รายได้ที่เพิ่มขึ้น จากจำนวนและปริมาณการลงทุนของผู้ลงทุนที่เพิ่มขึ้น * บริษัทจดทะเบียน สนใจนำบริษัทเข้ายจดทะเบียนในตลาดฯ มากขึ้น ระดมทุนได้ง่ายขึ้นตลาดทุนและเศรษฐกิจ * ชาวต่างชาติมั่นใจและนำเงินเข้ามาลงทุนมากขึ้น * ภาพลักษณ์ที่ดีต่อระบบการเงิน,8.855123281478882
6,สูงสุด +30% ต่ำสุด -30% ของราคาปิดวันก่อนหน้า,3.454362154006958
7,คุณต้องถามครับ ,16.948292016983032
8,2 รูปแบบใหญ่ๆ,8.041122674942017
9,ขอบคุณครับ ,16.45893406867981
10,- ให้ผู้ถือหุ้นเดิม (เช่น บริษัท AAA แจก Warrant ให้กับผู้ถือที่หุ้น AAA) โดยอาจแจกฟรีหรือขาย - ขายให้ผู้ลงทุนทั่วไป,6.780825138092041
11,มี (เนื่องจากผู้ออกต้องหาหุ้นมาให้ หรือ ต้องชำระส่วนต่างราคา),5.648664236068726
12,นำไปรวมเป็นรายได้และเสียภาษี,5.95055890083313
