id,answer,time
1,,1.1859607696533203
2,การประเมินมูลค่าและอัตราผลตอบแทนของตราสารหนี้ 5. ปัจจัยที่ส่งผลต่ออัตราผลตอบแทนของตราสารหนี้ หัวข้อก่อนหน้าแสดงให้เห็นว่าราคาของอัตราผลตอบแทนกับราคาของตราสารหนี้ มีความสัมพันธ์แบบผกผันกัน ในหัวข้อนี้จะกล่าวถึงปัจจัยที่ทำให้อัตราผลตอบแทนของตราสารหนี้เปลี่ยนแปลง 1. อัตราดอกเบี้ยนโยบาย (Policy Rate) เป็นอัตราดอกเบี้ยที่ธนาคารกลาง (สำหรับประเทศไทย ธนาคารกลาง หมายถึง ธนาคารแห่งประเทศไทย) กำหนดขึ้นเพื่อให้ดอกเบี้ยอื่นๆ ได้อ้างอิง ส่งผลให้เมื่ออัตราดอกเบี้ยนโยบายเปลี่ยนแปลง,1.4907898902893066
3,,0.5314421653747559
4,2.1 Gross Price หรือ Dirty Price,0.8956089019775391
5,การกำกับดูแลให้เกิดความเป็นธรรมแก่ผู้ลงทุนและผู้เกี่ยวข้องทุกฝ่าย,2.5614259243011475
6,x สิทธิการซื้อสินทรัพย์อ้างอิงของ 1 Warrant ข้อยกเว้น ราคาต่ำสุดที่คำนวณได้น้อยกว่า 0.01 ให้ราคาต่ำสุดเท่ากับ,1.1099967956542969
7,,0.7563540935516357
8,1. Absolute Valuation ซึ่งเป็นการประเมินมูลค่าโดยวัดจากสินทรัพย์หรือความสามารถในการทำกำไรจากตัวบริษัทเอง 2. Relative Valuation เป็นการประเมินมูลค่าโดยใช้วิธีการเปรียบเทียบอัตราส่วนทางการเงินกับบริษัทอื่นที่มีลักษณะของธุรกิจคล้ายคลึงกัน หรืออาจเปรียบเทียบกับค่าเฉลี่ยของอุตสาหกรรม การประเมินมูลค่าหุ้นสามัญ 3. การประเมินมูลค่าแบบ Absolute Valuation เป็นการประเมินมูลค่าจากสินทรัพย์หรือกระแสเงินสดของกิจการ 3.1,0.9477841854095459
9,,0.4460480213165283
10,1. ความหมายโดยสากล Warrant เป็น Option (ออปชั่น) ประเภทหนึ่ง,1.7353510856628418
11,"≤ 2 ปี Warrant (ไทย): 2 – 10 ปี ผู้ออกตราสาร DW: ธนาคาร, บล. Warrant (ไทย): บริษัทของหลักทรัพย์อ้างอิง (เช่น ผู้ออก Warrant ที่ให้สิทธิซื้อหุ้น AAA ต้องเป็นบริษัท AAA",1.1189827919006348
12,เงินปันผล บุคคลธรรมดา หัก ณ ที่จ่าย 10% หรือ นำเงินปันผลไปรวมเป็นรายได้,1.6200370788574219
13,คือ ความเสี่ยงจากการดำเนินธุรกิจ,1.3115358352661133
14,ตราสารหนี้ที่อายุ ≤1,2.1874561309814453
